checkpoint,curve,layer,value
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,30,0.9622443205259041
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,31,0.9404766695092149
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,32,0.9668389615361367
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,33,0.9643837231751784
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,34,1.0429989337122505
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,35,1.0778892093298211
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,0,0.0
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,1,-0.08222598830858867
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,2,-0.07880945007006335
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,3,-0.07658076286315918
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,4,-0.07671666145324707
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,5,-0.06475541989008593
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,6,-0.1445551415284475
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,7,-0.397980918486913
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,8,-0.6431049704551697
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,9,-0.044008587797482734
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,10,-0.11400843660036708
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,11,-0.6058696856101353
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,12,-0.7253274222215017
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,13,0.0551972736914953
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,14,-0.28277265528837825
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,15,0.0803784728050232
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,16,-0.026048044363657485
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,17,-0.631834050019582
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,18,-0.32664962609608966
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,19,-0.36586991945902514
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,20,-0.7657868464787801
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,21,-0.48611392577489215
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,22,-0.34320353468259174
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,23,-2.1427189906438193
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,24,-3.6927588383356733
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,25,-3.1851866145928702
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,26,-3.791159967581431
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,27,-3.3471726973851523
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,28,-3.4536402324835462
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,29,-3.784805138905843
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,30,-2.059821685155233
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,31,-0.24492808183034254
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,32,-0.22322217623392748
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,33,1.4006340305010478
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,34,1.4591809312502542
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,35,2.5671970546245575
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x8_drive_gap_curve,36,1.9611197511355083
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,0,0.15730297199548024
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,1,0.2021436014865795
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_scar_curve,2,0.21074223976124545
