lineage,alpha,site,auroc,auroc_ci,tpr1,tpr1_ci,tpr5,tpr5_ci,d_auroc,d_auroc_ci,d_tpr1,d_tpr1_ci,d_tpr5,d_tpr5_ci,n_pos,n_neg
L4,0.50,PROMPT,0.9887152777777778,"[0.9759114583333334, 0.998046875]",0.8854166666666666,"[0.8229166666666666, 0.96875]",0.9479166666666666,"[0.8958333333333334, 0.9895833333333334]",-5.4253472222209886e-05,"[-0.0017361111111110494, 0.0014105902777777901]",-0.04166666666666674,"[-0.08333333333333326, 0.03125]",0.0,"[0.0, 0.04166666666666663]",384,384
L4,0.75,PROMPT,0.9873860677083334,"[0.9740668402777778, 0.9975043402777778]",0.8541666666666666,"[0.7916666666666666, 0.96875]",0.9479166666666666,"[0.8958333333333334, 0.9895833333333334]",-0.0013834635416666297,"[-0.00401475694444442, 0.0008680555555555802]",-0.07291666666666674,"[-0.125, 0.03125]",0.0,"[-0.03125, 0.04166666666666663]",384,384
L4,1.00,PROMPT,0.9846462673611112,"[0.9702690972222222, 0.9958767361111112]",0.8333333333333334,"[0.7708333333333334, 0.9479166666666666]",0.9375,"[0.8645833333333334, 0.9791666666666666]",-0.0041232638888888395,"[-0.00873480902777779, -0.0005425347222222099]",-0.09375,"[-0.14583333333333337, 0.01041666666666674]",-0.01041666666666663,"[-0.0625, 0.03125]",384,384
L4,0.00,EARLY,0.9674207899305556,"[0.9492863972981771, 0.9835713704427083]",0.59375,"[0.4791666666666667, 0.7630859374999996]",0.8541666666666666,"[0.65625, 0.9244791666666666]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
L4,0.25,EARLY,0.9665391710069444,"[0.9480634901258681, 0.9830132378472222]",0.5963541666666666,"[0.48951822916666665, 0.7682291666666666]",0.8489583333333334,"[0.6588541666666666, 0.921875]",-0.0008816189236111605,"[-0.0016208224826388424, -0.00018988715277779011]",0.0026041666666666297,"[-0.0234375, 0.02083333333333337]",-0.005208333333333259,"[-0.01822916666666674, 0.01302083333333337]",384,384
L4,0.50,EARLY,0.9654947916666666,"[0.9469390869140625, 0.9822052001953125]",0.5911458333333334,"[0.48951822916666665, 0.7552734374999996]",0.8307291666666666,"[0.6588541666666666, 0.921875]",-0.0019259982638889506,"[-0.0032757229275173242, -0.0006847805447048864]",-0.0026041666666666297,"[-0.03645833333333337, 0.03125]",-0.0234375,"[-0.0390625, 0.01302083333333337]",384,384
L4,0.75,EARLY,0.9631890190972222,"[0.9441919962565104, 0.9807344224717882]",0.5572916666666666,"[0.4557291666666667, 0.7369791666666666]",0.8072916666666666,"[0.640625, 0.9166666666666666]",-0.00423177083333337,"[-0.006415642632378485, -0.0020751953125]",-0.03645833333333337,"[-0.08072916666666663, 0.04947916666666663]",-0.046875,"[-0.06510416666666663, 0.0078125]",384,384
L4,1.00,EARLY,0.9584893120659722,"[0.9381896972656251, 0.9773966471354166]",0.5546875,"[0.3932291666666667, 0.7083984374999996]",0.7786458333333334,"[0.6483723958333334, 0.8984375]",-0.00893147786458337,"[-0.013136800130208357, -0.0049901326497395655]",-0.0390625,"[-0.1484375, 0.0234375]",-0.07552083333333326,"[-0.11197916666666663, 0.01822916666666663]",384,384
L4,0.00,LATE,0.9234212239583334,"[0.8980970594618056, 0.9465705023871527]",0.4036458333333333,"[0.3333333333333333, 0.5598958333333334]",0.6536458333333334,"[0.53125, 0.7787109374999996]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
L4,0.25,LATE,0.9226616753472222,"[0.8976798163519965, 0.9465198092990451]",0.3932291666666667,"[0.3229166666666667, 0.5651041666666666]",0.671875,"[0.5337890625, 0.7761067708333329]",-0.0007595486111111605,"[-0.0018924289279513896, 0.00039350721571174325]",-0.01041666666666663,"[-0.026041666666666685, 0.02083333333333337]",0.01822916666666663,"[-0.03125, 0.02604166666666663]",384,384
L4,0.50,LATE,0.9208780924479166,"[0.8955162896050347, 0.9450051201714409]",0.3984375,"[0.3203125, 0.5495442708333329]",0.6536458333333334,"[0.5104166666666666, 0.7760416666666666]",-0.0025431315104167407,"[-0.004245673285590229, -0.0009490966796874546]",-0.005208333333333315,"[-0.044270833333333315, 0.0234375]",0.0,"[-0.041666666666666685, 0.02604166666666663]",384,384
L4,0.75,LATE,0.9178602430555556,"[0.8917234632703993, 0.9429873996310764]",0.3984375,"[0.2630208333333333, 0.5390625]",0.6223958333333334,"[0.4895833333333333, 0.765625]",-0.00556098090277779,"[-0.008891805013020906, -0.0023325602213540844]",-0.005208333333333315,"[-0.11458333333333331, 0.0234375]",-0.03125,"[-0.08333333333333337, 0.01302083333333337]",384,384
L4,1.00,LATE,0.9086846245659722,"[0.8820790608723958, 0.935348171657986]",0.234375,"[0.17447916666666666, 0.515625]",0.5729166666666666,"[0.46875, 0.7318359374999996]",-0.01473659939236116,"[-0.02074025472005206, -0.008252970377604193]",-0.16927083333333331,"[-0.22916666666666669, 0.0234375]",-0.08072916666666674,"[-0.14583333333333326, 0.0]",384,384
